,code,name,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total,carrier,late aircraft,national aviation system,security,total,weather,month
51630,MSP,"Minneapolis, MN: Minneapolis-St Paul International",8,11,29,0,1,0,49,0,155,204,432,858,1286,0,2646,70,5
51631,LAS,"Las Vegas, NV: McCarran International",27,37,75,0,2,0,140,1,314,455,1945,3133,3307,0,8556,171,5
51632,DEN,"Denver, CO: Denver International",83,152,271,0,3,6,509,4,1433,1952,7281,13153,13158,0,33829,237,5
51633,LGA,"New York, NY: LaGuardia",5,7,10,0,0,1,22,2,68,93,374,649,639,0,1662,0,5
51634,MIA,"Miami, FL: Miami International",13,15,24,0,0,1,52,0,133,186,1054,1209,1435,0,3698,0,5
51635,DCA,"Washington, DC: Ronald Reagan Washington National",3,8,10,0,1,0,21,1,68,90,137,1243,427,0,1817,10,5
51636,ORD,"Chicago, IL: Chicago O'Hare International",35,36,119,0,0,0,189,2,306,497,2007,3120,5470,0,10604,7,5
51637,SLC,"Salt Lake City, UT: Salt Lake City International",13,8,16,0,0,0,37,1,76,114,494,573,633,0,1733,33,5
51638,IAD,"Washington, DC: Washington Dulles International",11,9,28,0,0,0,49,1,167,217,576,927,1504,0,3007,0,5
51639,MCO,"Orlando, FL: Orlando International",26,23,51,0,0,2,100,0,291,393,2342,2343,2467,0,7152,0,5
51640,IAH,"Houston, TX: George Bush Intercontinental/Houston",8,10,33,0,0,1,50,1,98,150,410,858,1461,0,2729,0,5
51641,TPA,"Tampa, FL: Tampa International",6,8,9,0,1,1,24,0,98,123,856,1034,366,0,2317,61,5
51642,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",28,43,83,0,0,1,154,1,392,548,1548,4147,4364,0,10067,8,5
51643,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",7,10,20,0,0,0,37,0,118,155,360,503,1081,0,1944,0,5
51644,PHL,"Philadelphia, PA: Philadelphia International",23,25,53,0,1,3,101,0,175,279,2250,1945,3448,0,7653,10,5
51645,SEA,"Seattle, WA: Seattle/Tacoma International",6,1,5,0,0,1,13,0,77,91,210,57,231,0,498,0,5
51646,LAX,"Los Angeles, CA: Los Angeles International",12,5,20,0,0,0,37,0,110,147,746,334,791,0,1871,0,5
